event_id,user_id,event_type,event_date,amount,currency,description,is_recurring,recurring_frequency,linked_event_id,image_id,source,status
EVT040,U003,expense,2025-03-18,90.00,GBP,Streaming bundle,true,monthly,,,sky,confirmed
EVT041,U004,income,2025-01-01,5200.00,USD,Monthly salary,true,monthly,,,employer,confirmed
EVT042,U004,expense,2025-01-01,3100.00,USD,Monthly expenses,true,monthly,,,budget,confirmed
EVT043,U004,expense,2025-01-08,180.00,USD,Car insurance,true,monthly,,,geico,confirmed
EVT044,U004,income,2025-02-01,5200.00,USD,Monthly salary,true,monthly,,,employer,confirmed
EVT045,U004,expense,2025-02-01,3100.00,USD,Monthly expenses,true,monthly,,,budget,confirmed
EVT046,U004,expense,2025-02-08,180.00,USD,Car insurance,true,monthly,,,geico,confirmed
EVT047,U004,income,2025-03-01,5200.00,USD,Monthly salary,true,monthly,,,employer,confirmed
EVT048,U004,expense,2025-03-01,3100.00,USD,Monthly expenses,true,monthly,,,budget,confirmed
EVT049,U004,expense,2025-03-08,180.00,USD,Car insurance,true,monthly,,,geico,confirmed
EVT050,U004,expense,2025-01-20,300.00,USD,Dining out,true,monthly,,,restaurants,confirmed
EVT051,U004,expense,2025-02-20,300.00,USD,Dining out,true,monthly,,,restaurants,confirmed
EVT052,U004,expense,2025-03-20,300.00,USD,Dining out,true,monthly,,,restaurants,confirmed
EVT053,U001,income,2025-02-14,300.00,USD,Tax refund,false,,,,irs,confirmed
EVT054,U002,expense,2025-01-28,,,EUR,Dental bill,false,,EVT055,IMG001,dental_clinic,pending
EVT055,U002,expense,2025-01-28,250.00,EUR,Dental bill corrected amount,false,,,,dental_clinic,confirmed
EVT056,U003,income,2025-02-20,200.00,GBP,Cash gift,false,,,,family,confirmed
EVT057,U004,expense,2025-01-25,400.00,USD,Home repair,false,,,,handyman,confirmed
EVT058,U001,expense,2025-01-18,100.00,USD,Coffee budget,true,monthly,,,starbucks,confirmed
EVT059,U001,expense,2025-02-18,100.00,USD,Coffee budget,true,monthly,,,starbucks,confirmed
EVT060,U001,expense,2025-03-18,100.00,USD,Coffee budget,true,monthly,,,starbucks,confirmed
